MEASURE,SEX,AGE,TIME_PERIOD,OBS_VALUE,OBS_STATUS,CONF_STATUS,UNIT,UNIT_MULT
QLF15C03,F,Y20-64,2004Q2,12376.3,A,F,NR,3
QLF15C03,T,Y25-29,2004Q2,3155.7,A,F,NR,3
QLF15C03,M,Y25-29,2004Q2,1677.9,A,F,NR,3
QLF15C03,F,Y25-29,2004Q2,1477.8,A,F,NR,3
QLF15C03,T,Y25-49,2004Q2,18219.4,A,F,NR,3
QLF15C03,M,Y25-49,2004Q2,9660.0,A,F,NR,3
QLF15C03,F,Y25-49,2004Q2,8559.4,A,F,NR,3
QLF15C03,T,Y25-54,2004Q2,21630.8,A,F,NR,3
QLF15C03,M,Y25-54,2004Q2,11468.7,A,F,NR,3
QLF15C03,F,Y25-54,2004Q2,10162.2,A,F,NR,3
QLF15C03,T,Y25-59,2004Q2,23777.6,A,F,NR,3
QLF15C03,M,Y25-59,2004Q2,12625.2,A,F,NR,3
QLF15C03,F,Y25-59,2004Q2,11152.4,A,F,NR,3
QLF15C03,T,Y25-64,2004Q2,24137.6,A,F,NR,3
QLF15C03,M,Y25-64,2004Q2,12816.9,A,F,NR,3
QLF15C03,F,Y25-64,2004Q2,11320.7,A,F,NR,3
QLF15C03,T,Y25-74,2004Q2,24220.5,A,F,NR,3
QLF15C03,M,Y25-74,2004Q2,12870.0,A,F,NR,3
QLF15C03,F,Y25-74,2004Q2,11350.6,A,F,NR,3
QLF15C03,T,Y30-34,2004Q2,3713.8,A,F,NR,3
QLF15C03,M,Y30-34,2004Q2,2011.4,A,F,NR,3
QLF15C03,F,Y30-34,2004Q2,1702.4,A,F,NR,3
QLF15C03,T,Y35-39,2004Q2,3815.5,A,F,NR,3
QLF15C03,M,Y35-39,2004Q2,2029.7,A,F,NR,3
QLF15C03,F,Y35-39,2004Q2,1785.8,A,F,NR,3
QLF15C03,T,Y40-44,2004Q2,3849.8,A,F,NR,3
QLF15C03,M,Y40-44,2004Q2,2015.9,A,F,NR,3
QLF15C03,F,Y40-44,2004Q2,1834.0,A,F,NR,3
QLF15C03,T,Y40-59,2004Q2,13092.5,A,F,NR,3
QLF15C03,M,Y40-59,2004Q2,6906.1,A,F,NR,3
QLF15C03,F,Y40-59,2004Q2,6186.4,A,F,NR,3
QLF15C03,T,Y40-64,2004Q2,13452.6,A,F,NR,3
QLF15C03,M,Y40-64,2004Q2,7097.9,A,F,NR,3
QLF15C03,F,Y40-64,2004Q2,6354.7,A,F,NR,3
QLF15C03,T,Y45-49,2004Q2,3684.5,A,F,NR,3
QLF15C03,M,Y45-49,2004Q2,1925.1,A,F,NR,3
QLF15C03,F,Y45-49,2004Q2,1759.4,A,F,NR,3
QLF15C03,T,Y50-54,2004Q2,3411.4,A,F,NR,3
QLF15C03,M,Y50-54,2004Q2,1808.7,A,F,NR,3
QLF15C03,F,Y50-54,2004Q2,1602.8,A,F,NR,3
QLF15C03,T,Y50-59,2004Q2,5558.2,A,F,NR,3
QLF15C03,M,Y50-59,2004Q2,2965.2,A,F,NR,3
QLF15C03,F,Y50-59,2004Q2,2593.0,A,F,NR,3
QLF15C03,T,Y50-64,2004Q2,5918.2,A,F,NR,3
QLF15C03,M,Y50-64,2004Q2,3156.9,A,F,NR,3
QLF15C03,F,Y50-64,2004Q2,2761.3,A,F,NR,3
QLF15C03,T,Y50-74,2004Q2,6001.1,A,F,NR,3
QLF15C03,M,Y50-74,2004Q2,3210.0,A,F,NR,3
QLF15C03,F,Y50-74,2004Q2,2791.2,A,F,NR,3
QLF15C03,T,Y55-59,2004Q2,2146.7,A,F,NR,3
QLF15C03,M,Y55-59,2004Q2,1156.5,A,F,NR,3
QLF15C03,F,Y55-59,2004Q2,990.2,A,F,NR,3
QLF15C03,T,Y55-64,2004Q2,2506.8,A,F,NR,3
QLF15C03,M,Y55-64,2004Q2,1348.3,A,F,NR,3
QLF15C03,F,Y55-64,2004Q2,1158.5,A,F,NR,3
QLF15C03,T,Y60-64,2004Q2,360.1,A,F,NR,3
QLF15C03,M,Y60-64,2004Q2,191.8,A,F,NR,3
QLF15C03,F,Y60-64,2004Q2,168.3,A,F,NR,3
QLF15C03,T,Y65-69,2004Q2,69.2,U,F,NR,3
QLF15C03,M,Y65-69,2004Q2,45.8,U,F,NR,3
QLF15C03,T,Y65-74,2004Q2,82.9,A,F,NR,3
QLF15C03,M,Y65-74,2004Q2,53.0,U,F,NR,3
QLF15C03,T,Y_GE15,2004Q2,26991.3,A,F,NR,3
QLF15C03,M,Y_GE15,2004Q2,14382.1,A,F,NR,3
QLF15C03,F,Y_GE15,2004Q2,12609.3,A,F,NR,3
QLF15C03,T,Y_GE25,2004Q2,24235.5,A,F,NR,3
QLF15C03,M,Y_GE25,2004Q2,12877.2,A,F,NR,3
QLF15C03,F,Y_GE25,2004Q2,11358.3,A,F,NR,3
QLF15C03,T,Y_GE50,2004Q2,6016.1,A,F,NR,3
QLF15C03,M,Y_GE50,2004Q2,3217.2,A,F,NR,3
QLF15C03,F,Y_GE50,2004Q2,2798.9,A,F,NR,3
QLF15C03,T,Y_GE65,2004Q2,97.9,A,F,NR,3
QLF15C03,M,Y_GE65,2004Q2,60.3,U,F,NR,3
QLF15C03,F,Y_GE65,2004Q2,37.6,U,F,NR,3
QLF15C03,T,Y15-64,2004Q3,27137.3,A,F,NR,3
QLF15C03,M,Y15-64,2004Q3,14448.6,A,F,NR,3
QLF15C03,F,Y15-64,2004Q3,12688.7,A,F,NR,3
QLF15C03,T,Y15-19,2004Q3,684.0,A,F,NR,3
QLF15C03,M,Y15-19,2004Q3,417.7,A,F,NR,3
QLF15C03,F,Y15-19,2004Q3,266.3,A,F,NR,3
QLF15C03,T,Y15-24,2004Q3,3128.2,A,F,NR,3
QLF15C03,M,Y15-24,2004Q3,1728.8,A,F,NR,3
QLF15C03,F,Y15-24,2004Q3,1399.4,A,F,NR,3
QLF15C03,T,Y15-39,2004Q3,13739.2,A,F,NR,3
QLF15C03,M,Y15-39,2004Q3,7398.0,A,F,NR,3
QLF15C03,F,Y15-39,2004Q3,6341.3,A,F,NR,3
QLF15C03,T,Y15-59,2004Q3,26762.4,A,F,NR,3
QLF15C03,M,Y15-59,2004Q3,14262.1,A,F,NR,3
QLF15C03,F,Y15-59,2004Q3,12500.4,A,F,NR,3
QLF15C03,T,Y15-74,2004Q3,27238.7,A,F,NR,3
QLF15C03,M,Y15-74,2004Q3,14508.9,A,F,NR,3
QLF15C03,F,Y15-74,2004Q3,12729.8,A,F,NR,3
QLF15C03,T,Y20-24,2004Q3,2444.2,A,F,NR,3
QLF15C03,M,Y20-24,2004Q3,1311.1,A,F,NR,3
QLF15C03,F,Y20-24,2004Q3,1133.1,A,F,NR,3
QLF15C03,T,Y20-64,2004Q3,26453.3,A,F,NR,3
QLF15C03,M,Y20-64,2004Q3,14030.8,A,F,NR,3
QLF15C03,F,Y20-64,2004Q3,12422.5,A,F,NR,3
QLF15C03,T,Y25-29,2004Q3,3154.1,A,F,NR,3
QLF15C03,M,Y25-29,2004Q3,1671.6,A,F,NR,3
QLF15C03,F,Y25-29,2004Q3,1482.4,A,F,NR,3
QLF15C03,T,Y25-49,2004Q3,18073.2,A,F,NR,3
QLF15C03,M,Y25-49,2004Q3,9565.0,A,F,NR,3
QLF15C03,F,Y25-49,2004Q3,8508.2,A,F,NR,3
QLF15C03,T,Y25-54,2004Q3,21457.7,A,F,NR,3
QLF15C03,M,Y25-54,2004Q3,11368.7,A,F,NR,3
QLF15C03,F,Y25-54,2004Q3,10089.0,A,F,NR,3
QLF15C03,T,Y25-59,2004Q3,23634.2,A,F,NR,3
QLF15C03,M,Y25-59,2004Q3,12533.2,A,F,NR,3
QLF15C03,F,Y25-59,2004Q3,11101.0,A,F,NR,3
QLF15C03,T,Y25-64,2004Q3,24009.1,A,F,NR,3
QLF15C03,M,Y25-64,2004Q3,12719.7,A,F,NR,3
QLF15C03,F,Y25-64,2004Q3,11289.3,A,F,NR,3
QLF15C03,T,Y25-74,2004Q3,24110.5,A,F,NR,3
QLF15C03,M,Y25-74,2004Q3,12780.1,A,F,NR,3
QLF15C03,F,Y25-74,2004Q3,11330.4,A,F,NR,3
QLF15C03,T,Y30-34,2004Q3,3655.3,A,F,NR,3
QLF15C03,M,Y30-34,2004Q3,1973.7,A,F,NR,3
QLF15C03,F,Y30-34,2004Q3,1681.6,A,F,NR,3
QLF15C03,T,Y35-39,2004Q3,3801.6,A,F,NR,3
QLF15C03,M,Y35-39,2004Q3,2023.8,A,F,NR,3
QLF15C03,F,Y35-39,2004Q3,1777.8,A,F,NR,3
QLF15C03,T,Y40-44,2004Q3,3808.3,A,F,NR,3
QLF15C03,M,Y40-44,2004Q3,1987.6,A,F,NR,3
QLF15C03,F,Y40-44,2004Q3,1820.8,A,F,NR,3
QLF15C03,T,Y40-59,2004Q3,13023.2,A,F,NR,3
QLF15C03,M,Y40-59,2004Q3,6864.1,A,F,NR,3
QLF15C03,F,Y40-59,2004Q3,6159.1,A,F,NR,3
QLF15C03,T,Y40-64,2004Q3,13398.0,A,F,NR,3
